pathway,overlap,gene_set_size,pathway_size,p_value
NEGATIVE REGULATION OF NERVOUS SYSTEM DEVELOPMENT,6,191,63,0.08586443864151802
TISSUE HOMEOSTASIS,8,191,94,0.08745711753479884
REGULATION OF TRANSFERASE ACTIVITY,8,191,94,0.08745711753479884
POSITIVE REGULATION OF LIPID METABOLIC PROCESS,5,191,49,0.08938778990021277
NATURAL KILLER CELL MEDIATED IMMUNITY,4,191,35,0.08939858647640093
FEMALE GAMETE GENERATION,4,191,35,0.08939858647640093
BIOLOGICAL PROCESS INVOLVED IN INTRASPECIES INTERACTION BETWEEN ORGANISMS,3,191,22,0.08981138664768229
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY,3,191,22,0.08981138664768229
FEAR RESPONSE,3,191,22,0.08981138664768229
DEFENSE RESPONSE TO OTHER ORGANISM,19,191,282,0.09326640692053272
RESPONSE TO OZONE,1,191,2,0.0955382906421102
CALCIUM ION EXPORT ACROSS PLASMA MEMBRANE,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF NEUTROPHIL MIGRATION,1,191,2,0.0955382906421102
CELLULAR RESPONSE TO SALT,1,191,2,0.0955382906421102
FOLIC ACID TRANSPORT,1,191,2,0.0955382906421102
PLATELET ACTIVATING FACTOR METABOLIC PROCESS,1,191,2,0.0955382906421102
REGULATION OF SODIUM ION EXPORT ACROSS PLASMA MEMBRANE,1,191,2,0.0955382906421102
PURINE NUCLEOTIDE TRANSPORT,1,191,2,0.0955382906421102
POSITIVE REGULATION OF TRIGLYCERIDE CATABOLIC PROCESS,1,191,2,0.0955382906421102
IMP METABOLIC PROCESS,1,191,2,0.0955382906421102
GLUTAMINE METABOLIC PROCESS,1,191,2,0.0955382906421102
DAMP CATABOLIC PROCESS,1,191,2,0.0955382906421102
POSITIVE REGULATION OF METALLOPEPTIDASE ACTIVITY,1,191,2,0.0955382906421102
GAMMA AMINOBUTYRIC ACID SECRETION,1,191,2,0.0955382906421102
REGULATION OF GAMMA AMINOBUTYRIC ACID SECRETION,1,191,2,0.0955382906421102
POSITIVE REGULATION OF GAMMA AMINOBUTYRIC ACID SECRETION,1,191,2,0.0955382906421102
PURINE RIBONUCLEOSIDE CATABOLIC PROCESS,1,191,2,0.0955382906421102
IMP CATABOLIC PROCESS,1,191,2,0.0955382906421102
MONOACYLGLYCEROL METABOLIC PROCESS,1,191,2,0.0955382906421102
DIACYLGLYCEROL CATABOLIC PROCESS,1,191,2,0.0955382906421102
DAMP METABOLIC PROCESS,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF MEMBRANE POTENTIAL,1,191,2,0.0955382906421102
NUCLEAR BODY ORGANIZATION,1,191,2,0.0955382906421102
HYPOXANTHINE METABOLIC PROCESS,1,191,2,0.0955382906421102
VIRION ASSEMBLY,1,191,2,0.0955382906421102
ADENOSINE CATABOLIC PROCESS,1,191,2,0.0955382906421102
INOSINE CATABOLIC PROCESS,1,191,2,0.0955382906421102
NUCLEOTIDE TRANSPORT,1,191,2,0.0955382906421102
MITOCHONDRIAL CALCIUM ION TRANSMEMBRANE TRANSPORT,1,191,2,0.0955382906421102
XANTHINE METABOLIC PROCESS,1,191,2,0.0955382906421102
INOSINE METABOLIC PROCESS,1,191,2,0.0955382906421102
ALDITOL METABOLIC PROCESS,1,191,2,0.0955382906421102
RESPONSE TO GRAM POSITIVE BACTERIUM,1,191,2,0.0955382906421102
DEOXYINOSINE METABOLIC PROCESS,1,191,2,0.0955382906421102
REGULATION OF INTESTINAL CHOLESTEROL ABSORPTION,1,191,2,0.0955382906421102
GLYCEROL METABOLIC PROCESS,1,191,2,0.0955382906421102
REGULATION OF MESODERMAL CELL FATE SPECIFICATION,1,191,2,0.0955382906421102
LONG CHAIN FATTY ACID CATABOLIC PROCESS,1,191,2,0.0955382906421102
PSYCHOMOTOR BEHAVIOR,1,191,2,0.0955382906421102
ACTIVATION OF JANUS KINASE ACTIVITY,1,191,2,0.0955382906421102
L ALANINE TRANSPORT,1,191,2,0.0955382906421102
L CYSTINE TRANSPORT,1,191,2,0.0955382906421102
FAS SIGNALING PATHWAY,1,191,2,0.0955382906421102
DIPHOSPHATE METABOLIC PROCESS,1,191,2,0.0955382906421102
PROTEIN HOMOTRIMERIZATION,1,191,2,0.0955382906421102
GERM LINE STEM CELL DIVISION,1,191,2,0.0955382906421102
MEMBRANE FISSION,1,191,2,0.0955382906421102
FIBROBLAST GROWTH FACTOR PRODUCTION,1,191,2,0.0955382906421102
REGULATION OF PHOSPHOLIPID TRANSLOCATION,1,191,2,0.0955382906421102
PULMONARY ARTERY MORPHOGENESIS,1,191,2,0.0955382906421102
ASYMMETRIC STEM CELL DIVISION,1,191,2,0.0955382906421102
REGULATION OF MEIOSIS I,1,191,2,0.0955382906421102
POSITIVE REGULATION OF MEIOSIS I,1,191,2,0.0955382906421102
CONVERGENT EXTENSION INVOLVED IN ORGANOGENESIS,1,191,2,0.0955382906421102
NUCLEAR ENVELOPE ORGANIZATION,1,191,2,0.0955382906421102
ENDOSOME ORGANIZATION,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF LIPOPOLYSACCHARIDE MEDIATED SIGNALING PATHWAY,1,191,2,0.0955382906421102
LYSOSOMAL MEMBRANE ORGANIZATION,1,191,2,0.0955382906421102
GROWTH INVOLVED IN HEART MORPHOGENESIS,1,191,2,0.0955382906421102
MITOTIC INTRA S DNA DAMAGE CHECKPOINT SIGNALING,1,191,2,0.0955382906421102
MITOCHONDRIAL CALCIUM ION HOMEOSTASIS,1,191,2,0.0955382906421102
NEGATIVE REGULATION OF MEIOTIC CELL CYCLE,1,191,2,0.0955382906421102
REGULATION OF CORTICOTROPIN SECRETION,1,191,2,0.0955382906421102
